F1,F7,F8,F9,F11,F12,F15,F16,F17,F19,F20,F22,F24,F25,F26,F27,F28,F29,F30,F32,F33,F34,F35,Classe
0.0,2.0,1.4666666666666666,2.0,19.0,0.0,17.0,0.9895875209335164,2.7647061326658218,14.0,7.0,14.0,1.1338934190276817,0.9568466729604884,1.0794810925861054,1.0574710980473498,6.0043145891596295,2.5132611411911703,39.5543128761104,26.0,49.0,20.0,4.154133293889818,1
1.0,1.4615384615384617,2.3846153846153846,0.0,11.0,1.0,17.0,0.9580420219377606,2.032141727340886,6.0,18.0,12.0,0.6343239424027171,1.0769230769230769,0.9970370305242862,0.8528015502369183,4.253753959159119,2.6405187074829928,20.304034895124435,28.0,47.0,23.0,4.365209510075616,0
0.0,1.5263157894736843,1.1666666666666667,4.0,30.0,3.0,17.0,0.9814538947451146,4.227576137694034,10.0,3.0,18.0,1.1862555441668048,0.4999999999999999,0.9362436797669608,3.596603501916775,6.635765062172381,16.98740000000001,45.90268754219729,27.0,44.0,20.0,3.572505304712351,1
1.0,1.3333333333333333,2.833333333333333,2.0,13.0,5.0,17.0,0.9043814574359548,2.0123617964968425,4.0,22.0,11.0,0.4714045207910317,1.9930434571835665,1.630865482565077,1.594832548745953,5.234583540942713,4.558848993448724,31.11392919813281,26.0,44.0,18.0,3.996630848284676,1
0.0,2.0,2.0,3.0,21.0,2.0,18.0,0.9988455357066628,2.9410882339705484,13.0,12.0,12.0,2.660248687044705,3.3166247903554,2.9933259094191533,3.0424828878423305,6.768757979080202,10.574776785714285,47.20856025928029,19.0,39.0,17.0,3.385265892257705,1
1.0,1.5333333333333334,1.6875,1.0,18.0,1.0,17.0,0.9953784385316868,2.806349942541023,8.0,11.0,15.0,0.6182412330330469,1.0439558180306292,0.8679757449724974,1.4266319690953906,5.278015304338588,4.2674139983517,31.01597801782982,31.0,49.0,26.0,4.571943749300114,0
1.0,1.3125,1.8125,4.0,27.0,5.0,17.0,0.9814538947451146,3.7829089336118034,5.0,13.0,15.0,0.6817945071647321,2.1569292408421745,1.618979230873577,3.1575202844273598,6.76350408767301,11.83948374315089,47.15393998455114,23.0,47.0,16.0,3.267931954656495,1
0.0,2.0,2.0,2.0,13.0,2.0,18.0,0.9988455357066628,2.0024984394500787,13.0,12.0,12.0,1.5191090506254998,1.0801234497346437,1.32664991614216,1.3362434589241796,5.155654218147478,4.132231404958678,30.976330992966467,31.0,49.0,23.0,4.3873736406985255,0
0.0,1.625,1.5,2.0,21.0,4.0,18.0,0.9988455357066628,3.128961489056713,10.0,8.0,15.0,0.6959705453537527,1.4577379737113252,1.1439378261076951,3.416126061843873,5.764233525895602,16.152381376698596,36.46880897178984,24.0,41.0,19.0,4.040109109154241,1
0.0,2.3076923076923075,1.5384615384615383,1.0,15.0,2.0,18.0,0.9709505941661296,2.2202702538204666,17.0,7.0,12.0,1.4349813927828945,0.8426500884694863,1.2379597645716216,0.997550381093818,5.66916082028276,2.6483654089831683,36.36674728769192,31.0,43.0,25.0,4.474330162437656,0
0.0,2.0,1.6923076923076923,2.0,17.0,1.0,17.0,0.9895875209335164,2.45120378589786,14.0,9.0,13.0,1.5118578920369088,1.2015768732164085,1.379847111866456,1.6203081813053837,6.111493203786268,4.59065975134749,40.7525737052475,30.0,48.0,27.0,4.5591156956961365,0
-1.0,1.6666666666666667,1.6666666666666667,2.0,15.0,0.0,18.0,0.9999999997114608,2.5768197453450257,10.0,10.0,14.0,0.7888106377466155,0.699205898780101,0.7453559924999299,0.6260990336999409,4.548896665419826,2.04,23.219335172013345,28.0,46.0,20.0,4.191296466597355,1
0.0,2.071428571428572,1.6153846153846154,1.0,15.0,6.0,18.0,0.9814538947451146,2.368206072114502,15.0,8.0,13.0,2.086154552358605,0.737820234355803,1.603323023845434,3.315306062911611,5.172242108871394,14.815877895461009,29.773404515680564,30.0,48.0,27.0,4.586183358692582,0
0.0,3.375,2.875,0.0,5.0,1.0,18.0,0.9953784385316868,0.947417542586161,19.0,15.0,7.0,1.5761900266148114,2.315032397181517,1.996089927833914,0.4877182125863164,3.416661822365611,1.9014994232987312,14.694243472790184,29.0,37.0,21.0,4.216193141113151,0
0.0,1.75,1.4666666666666666,2.0,19.0,1.0,17.0,0.9895875209335164,2.841760018017004,12.0,7.0,15.0,0.9682458365518544,0.7180219742846006,0.8679757449724973,1.1306489547817749,5.610768249736607,3.057400567748238,35.37143447342517,28.0,48.0,25.0,4.528465488430549,0
1.0,2.6666666666666665,3.25,1.0,9.0,2.0,17.0,0.9988455357066628,1.3358143583597235,15.0,18.0,8.0,2.0548046676563256,2.680951323690902,2.387974485904052,0.8212372754991287,5.554815084933146,2.2281479757752845,35.47700771251163,26.0,44.0,21.0,4.14473756550874,1
0.0,2.6,2.6666666666666665,0.0,7.0,2.0,18.0,0.9988455357066628,1.2789057822998533,16.0,15.0,9.0,1.5620499351813308,2.10818510677892,1.8413532299511477,1.409118685276316,3.910808334545352,4.653843073176983,18.17728307448344,31.0,49.0,23.0,4.316827716832513,0
-1.0,1.4705882352941178,1.5625,4.0,22.0,2.0,18.0,0.9999999997114608,3.228683942413689,8.0,9.0,16.0,0.7759356446042893,0.998044963916957,0.8917538769431613,2.133685563976852,5.92600771124307,7.858693043325211,38.47302624205555,29.0,49.0,23.0,4.281835532605627,0
1.0,1.75,2.4166666666666665,2.0,10.0,3.0,18.0,0.9814538947451146,1.8137254478007416,9.0,17.0,11.0,0.82915619758885,1.552328000849763,1.288302069478359,1.481521442900062,4.115087066427754,4.915827804135081,19.296715790549428,28.0,48.0,21.0,4.294663586209604,0
1.0,1.2105263157894737,1.4210526315789471,4.0,29.0,2.0,17.0,0.9953784385316868,4.154804447865145,4.0,8.0,19.0,0.4076824574955175,0.8153649149910351,0.6531407182100452,2.4033408271224475,6.342313511790862,8.933884297520652,42.78888158272795,28.0,50.0,18.0,3.953152587415111,1
0.0,1.2857142857142858,1.15,3.0,33.0,1.0,17.0,0.9953784385316868,4.701871967631615,6.0,3.0,20.0,0.4517539514526256,0.4769696007084728,0.4691557088212523,2.036786905463753,6.452165626553264,6.405741417092768,43.9430187541438,26.0,49.0,14.0,3.394100065226548,1
1.0,2.0,3.2,1.0,11.0,6.0,17.0,0.9426831889669534,1.611086589851706,9.0,22.0,9.0,1.632993161855452,3.1240998703626617,2.599808217942836,1.8446970301911827,5.8268006266677,5.997350174684224,37.92615355963186,26.0,39.0,23.0,4.176297424512728,1
1.0,1.4285714285714286,2.142857142857143,2.0,18.0,5.0,17.0,0.9709505941661296,2.6165626306282066,6.0,16.0,14.0,0.7284313590846836,1.8844151368961315,1.4725377234348789,2.7885319486530284,6.004366723446002,11.62851764705882,39.59362492552502,28.0,50.0,24.0,4.420194836444764,1
-1.0,1.7857142857142858,1.7857142857142858,1.0,14.0,1.0,18.0,0.9999999997114608,2.333752343330372,11.0,11.0,14.0,1.0126747770541304,1.0126747770541304,1.0126747770541304,1.4696454921471684,4.776696359334328,4.844657310462611,25.447407038929786,30.0,50.0,26.0,4.544876086303668,1
