F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
-1,25,25,4,4,36,1.3888888888888888,1.3157894736842106,6,0,30,0,18,19,17,0.9999999997114609,4.218103839404621,0.74,7,6,18,18,1.0,0.8258927081843613,0.7981974151633211,0.8126106150471841,2.2988793437873314,6.67494170206574,7.0780014096640365,46.31107169344111,0.0,25,49,18,3.7401032600285835,Humana
0,28,22,6,5,21,2.5454545454545454,2.0,0,1,11,1,11,11,17,0.9895875209335165,1.710672382427448,0.44,17,11,11,10,0.8365012677171205,1.9708621262435273,1.348399724926484,1.7104443383842527,1.1526213176572417,5.1001595118891165,2.8397012352772184,30.083191913527294,0.12,28,48,26,4.526294499949898,Aleatória
0,29,21,4,3,30,1.9333333333333333,1.3125,1,0,19,1,15,16,17,0.9814538947451146,2.841760018017004,0.62,14,5,15,15,0.7858751946471527,0.9285592184789412,0.6817945071647321,0.8679757449724973,1.1306489547817746,5.610768249736607,3.057400567748238,35.37143447342517,0.16,26,47,19,3.9638096525384374,Aleatória
0,26,24,4,5,25,2.0,1.8461538461538463,3,1,15,1,13,13,17,0.9988455357066628,2.2202702538204666,0.52,13,11,13,12,0.9434164716336324,1.1766968108291043,1.2917581249035897,1.2379597645716216,0.997550381093818,5.66916082028276,2.648365408983169,36.366747287691915,0.04,28,47,23,4.273911011375186,Humana
1,21,29,3,11,18,2.3333333333333335,2.9,0,2,4,8,9,10,16,0.9814538947451146,1.4406942770761604,0.38,12,19,9,9,0.7858751946471527,0.4714045207910317,2.913760456866693,2.1572527928336003,2.997058831173011,4.734949713658972,12.007899659863934,26.684349028202433,-0.16,27,48,17,3.938003326284241,Aleatória
-1,25,25,9,4,26,1.9230769230769231,1.7857142857142858,2,0,17,5,13,14,18,0.9999999997114609,2.4836263809196426,0.54,12,11,13,13,1.0,2.1289773081689307,1.0809104250301114,1.671187284841256,2.9963695691130865,5.93666594340229,12.658048062189046,38.798527488908526,0.0,28,48,25,4.410099326733673,Humana
1,20,30,4,7,26,1.5384615384615385,2.142857142857143,1,2,16,3,13,14,18,0.9709505941661296,2.3850366873488547,0.54,7,16,13,13,0.7369655941662062,0.9294650748918902,1.7261494247992248,1.4325244152454604,2.150787534086903,5.681955142933588,7.333615130544198,35.86370287993179,-0.2,30,49,28,4.5941078799230235,Aleatória
1,23,27,4,5,23,1.9166666666666667,2.25,0,1,6,1,12,12,18,0.9953784385316868,2.1282856951076847,0.48,11,15,12,11,0.8889686876112561,0.8620067027323834,1.0897247358851685,0.9965217285917831,1.3485133392142319,5.473572158812186,4.577094234436893,33.48265949937866,-0.08,29,47,23,4.2446723598980896,Aleatória
1,19,31,6,16,25,1.4615384615384615,2.3846153846153846,3,3,22,10,13,13,17,0.9580420219377606,3.0805194367184243,0.52,6,18,13,12,0.6896598793878495,1.3367805536140587,4.010341660842177,3.0245543463596154,3.9602225246816296,6.776461954091002,18.19015729780478,47.280105379798904,-0.24,20,48,18,3.465495989468814,Humana
-1,25,25,3,3,29,1.6666666666666667,1.6666666666666667,2,0,16,0,15,15,18,0.9999999997114609,2.6000000000000005,0.6,10,10,14,15,1.0,0.7888106377466154,0.7888106377466155,0.7888106377466154,0.664049771572406,4.78470641784251,1.9132653061224494,26.303315710234223,0.0,28,50,23,4.4250983688183005,Aleatória
