F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,Classe
1.0,24.0,26.0,4.0,5.0,29.0,1.6,1.7333333333333334,0.0,1.0,16.0,1.0,15.0,15.0,17.0,0.9988455357066628,2.6907248094147422,0.6,9.0,11.0,14.0,15.0,0.9434164716336324,0.7999999999999999,1.0624918300339483,0.9428090415820632,1.9003494744388467,4.894653551999984,6.731250000000001,25.926162205060887,-0.04,28.0,50.0,23.0,4.25476786960918,1
-1.0,25.0,25.0,2.0,2.0,43.0,1.1363636363636365,1.1363636363636365,6.0,0.0,38.0,0.0,22.0,22.0,16.0,0.9999999997114608,5.368947755380005,0.88,3.0,3.0,21.0,22.0,1.0,0.3431742925123067,0.3431742925123067,0.3431742925123067,2.1192517713040706,6.622887990222122,5.491228070175442,45.7160712088564,0.0,22.0,50.0,14.0,2.9451720035002102,1
-1.0,25.0,25.0,5.0,4.0,29.0,1.6666666666666667,1.6666666666666667,3.0,0.0,19.0,1.0,15.0,15.0,18.0,0.9999999997114608,2.785677655436824,0.6,10.0,10.0,15.0,14.0,1.0,1.07496769977314,1.07496769977314,1.07496769977314,1.657771933451921,5.905390895393422,4.81508875739645,38.35646721224359,0.0,27.0,48.0,26.0,4.5670402169265785,0
1.0,11.0,39.0,11.0,39.0,1.0,11.0,39.0,0.0,7.0,0.0,28.0,1.0,1.0,13.0,0.7601675026734266,0.1959591794226542,0.04,10.0,38.0,0.0,1.0,0.3584539709124763,0.0,0.0,14.0,0.0,4.694855340334422,1.0,23.04166666666665,-0.56,14.0,50.0,6.0,1.1936404332857726,1
0.0,30.0,20.0,3.0,4.0,34.0,1.6666666666666667,1.1764705882352942,4.0,0.0,26.0,1.0,18.0,17.0,17.0,0.9709505941661296,3.7000000000000006,0.7,12.0,3.0,17.0,17.0,0.7369655941662062,0.816496580927726,0.7058823529411764,0.8030553898602969,1.7226252254053394,6.416362308254196,4.76886716872296,43.749010357167805,0.2,24.0,49.0,16.0,3.6673863476819215,1
0.0,27.0,23.0,2.0,3.0,38.0,1.35,1.2105263157894737,4.0,0.0,29.0,1.0,20.0,19.0,17.0,0.9953784385316868,4.225115383039852,0.78,7.0,4.0,19.0,19.0,0.8889686876112561,0.4769696007084729,0.5210260492953508,0.5037662231894487,1.5543870528023,6.100527389522975,4.492912561411043,40.089511308225056,0.08,24.0,49.0,16.0,3.552452511207945,1
1.0,21.0,29.0,3.0,6.0,31.0,1.3125,1.8125,3.0,1.0,21.0,3.0,16.0,16.0,17.0,0.9814538947451146,3.122563049803799,0.64,5.0,13.0,15.0,16.0,0.7858751946471527,0.582961190818051,1.3331705629813464,1.0588171466310885,2.6790957087285867,5.79832173645218,10.684371547548228,36.767893796875946,-0.16,31.0,50.0,24.0,4.354552444952287,0
1.0,23.0,27.0,4.0,5.0,29.0,1.5333333333333334,1.8,1.0,1.0,18.0,1.0,15.0,15.0,18.0,0.9953784385316868,2.705549851693737,0.6,8.0,12.0,14.0,15.0,0.8889686876112561,0.8844332774281067,1.1075498483890769,1.0110500592068732,1.6699527206654177,5.588997543676208,5.3024574669187166,34.85487772104271,-0.08,30.0,50.0,27.0,4.588354347173232,0
1.0,23.0,27.0,5.0,7.0,24.0,1.9166666666666667,2.076923076923077,3.0,2.0,16.0,2.0,12.0,13.0,18.0,0.9953784385316868,2.3430749027719964,0.5,11.0,14.0,12.0,12.0,0.8889686876112561,1.2555432644432802,1.8589301497837805,1.6,1.640625,5.928410724761777,4.931640625,38.5785879940677,-0.08,29.0,49.0,25.0,4.501397825434102,0
0.0,27.0,23.0,6.0,4.0,27.0,1.9285714285714288,1.6428571428571428,1.0,0.0,15.0,2.0,14.0,14.0,18.0,0.9953784385316868,2.3846173697262216,0.56,13.0,9.0,14.0,13.0,0.8889686876112561,1.3343958351621,0.8949974347244049,1.1450871101343856,1.995134288698771,5.05839214391822,7.30610607276416,28.811924804186788,0.08,30.0,48.0,31.0,4.8385668472672965,0
1.0,20.0,30.0,5.0,5.0,30.0,1.3333333333333333,1.875,5.0,1.0,22.0,0.0,15.0,16.0,17.0,0.9709505941661296,3.142546737918149,0.62,5.0,14.0,15.0,15.0,0.7369655941662062,1.0110500592068734,1.165922381636102,1.1267257546176117,1.8830975712574607,6.326276799443863,5.628597151303412,42.88380436878762,-0.2,24.0,49.0,20.0,3.985973783161348,0
1.0,22.0,28.0,4.0,5.0,24.0,1.6923076923076923,2.333333333333333,1.0,1.0,10.0,1.0,13.0,12.0,17.0,0.9895875209335164,1.8894443627691184,0.5,9.0,16.0,12.0,12.0,0.8365012677171205,0.9101661204768638,1.1055415967851334,1.0583005244258363,1.0124048384175728,4.047252713132071,3.571428571428571,18.39500506084787,-0.12,31.0,49.0,27.0,4.604764945046352,1
